	Data	Id	Label	Median	Signif	Substr	pVal
76	0.08	Median_IFI	1550	0.08	yes	yeast	0.00027919356681148735
77	2.715	Median_IFI	1554	32.04	yes	yeast	0.00015328096920419587
78	60.93	Median_IFI	1557	9.81	no	yeast	0.031097226883546433
79	25.48	Median_IFI	1561	15.205	no	yeast	0.010200396988761403
80	4.825	Median_IFI	1564	13.87	no	yeast	0.055772593240298284
81	2.72	Median_IFI	1565	2.72	no	yeast	0.18254082760497736
82	0.32	Median_IFI	1566	0.37	no	yeast	0.3690581252054873
83	35.33	Median_IFI	1567	17.1675	no	yeast	0.07378087703526331
84	3.13	Median_IFI	1569	5.81	no	yeast	0.15059516495350958
85	0.145	Median_IFI	1570	0.47	no	yeast	0.33898548926248173
86	48.94	Median_IFI	1575	3.955	no	yeast	0.4279417752220114
87	0.06	Median_IFI	1576	12.7725	no	yeast	0.051962359476181635
88	0.1	Median_IFI	1579	0.98	no	yeast	0.6418304326820448
89	12.025	Median_IFI	1581	12.2	no	yeast	0.023082308423995772
90	0.09	Median_IFI	1587	0.13	no	yeast	0.020600188593029256
91	179.975	Median_IFI	1588	28.09	no	yeast	0.017992950462815085
92	0.11	Median_IFI	1593	0.27	no	yeast	0.7564287268678761
93	14.41	Median_IFI	1597	8.99	no	yeast	0.015334555028483991
94	0.46	Median_IFI	1602	9.1725	yes	yeast	0.007443077254656994
95	0.07	Median_IFI	2111	5.8475	no	yeast	0.32169944283953383
96	0.385	Median_IFI	2257	29.375	yes	yeast	0.003045269625423507
97	6.235	Median_IFI	2259	32.19	yes	yeast	3.2861390837542854e-05
98	1.33	Median_IFI	2278	48.3425	yes	yeast	0.006853944332183471
99	76.92	Median_IFI	2279	51.4	yes	yeast	0.008701954881286887
100	0.06	Median_IFI	2285	9.415	no	yeast	0.17633108920765198
101	52.35	Median_IFI	2310	14.96	yes	yeast	0.008767833437350528
102	56.265	Median_IFI	2324	2.55	no	yeast	0.1732873833602846
103	4.365	Median_IFI	2378	2.2675	no	yeast	0.87968308427176
104	5.89	Median_IFI	2384	80.11	yes	yeast	0.0002459035686972138
105	0.07	Median_IFI	2388	9.28	no	yeast	0.3153978084812571
106	2.12	Median_IFI	2391	18.01	yes	yeast	0.0005652765866469772
107	0.06	Median_IFI	2394	0.875	no	yeast	0.8086377565740883
108	0.345	Median_IFI	2538	0.345	no	yeast	0.5610200913327458
109	1.59	Median_IFI	2547	0.855	no	yeast	0.5248671992940548
110	0.44	Median_IFI	2554	8.645	no	yeast	0.17541358133502022
111	217.665	Median_IFI	2608	0.83	no	yeast	0.5259578466084788
